z,r,C
0,67.7891,0.0107555
0,71.1786,0.00928915
0,74.7375,0.00804897
0,78.4744,0.00680937
0,82.3981,0.0058688
0,86.518,0.00491884
0,90.8439,0.00416214
0,95.3861,0.00348295
0,100.155,0.00289945
0,105.163,0.00242288
0,110.421,0.00200174
0,115.942,0.00162081
0,121.74,0.00131212
0,127.827,0.001041
0,134.218,0.000789651
0,140.929,0.000593979
0,147.975,0.000433687
0,155.374,0.000301597
0,163.143,0.00020593
0,171.3,0.000108952
0,179.865,3.59583e-05
0,188.858,-2.89956e-05
0,198.301,-8.10478e-05
0,208.216,-0.000113277
0,218.627,-0.000129635
0,229.558,-0.000146178
0,241.036,-0.000161522
0,253.088,-0.000167529
0,265.742,-0.000158417
0,279.029,-0.000157864
0,292.981,-0.000149023
0,307.63,-0.000137623
0,323.011,-0.000124424
0,339.162,-0.000110962
0,356.12,-9.63757e-05
0,373.926,-8.25981e-05
0,392.622,-6.94168e-05
0,412.253,-5.79534e-05
0,432.866,-4.7714e-05
0,454.509,-3.8787e-05
0,477.235,-3.05912e-05
1,0.001,679.612
1,0.00105,679.583
1,0.0011025,679.55
1,0.00115763,679.514
1,0.00121551,679.474
1,0.00127628,679.43
1,0.0013401,679.382
1,0.0014071,679.329
1,0.00147746,679.27
1,0.00155133,679.205
1,0.00162889,679.134
1,0.00171034,679.055
1,0.00179586,678.969
1,0.00188565,678.873
1,0.00197993,678.768
1,0.00207893,678.651
1,0.00218287,678.523
1,0.00229202,678.382
1,0.00240662,678.227
1,0.00252695,678.055
1,0.0026533,677.866
1,0.00278596,677.658
1,0.00292526,677.429
1,0.00307152,677.176
1,0.0032251,676.897
1,0.00338635,676.59
1,0.00355567,676.252
1,0.00373346,675.879
1,0.00392013,675.468
1,0.00411614,675.016
1,0.00432194,674.518
1,0.00453804,673.969
1,0.00476494,673.365
1,0.00500319,672.7
1,0.00525335,671.967
1,0.00551602,671.161
1,0.00579182,670.273
1,0.00608141,669.297
1,0.00638548,668.222
1,0.00670475,667.04
1,0.00703999,665.74
1,0.00739199,664.31
1,0.00776159,662.739
1,0.00814967,661.012
1,0.00855715,659.116
1,0.00898501,657.033
1,0.00943426,654.748
1,0.00990597,652.24
1,0.0104013,649.49
1,0.0109213,646.477
1,0.0114674,643.176
1,0.0120408,639.564
1,0.0126428,635.613
1,0.0132749,631.296
1,0.0139387,626.583
1,0.0146356,621.442
1,0.0153674,615.842
1,0.0161358,609.85
1,0.0169426,603.354
1,0.0177897,596.227
1,0.0186792,588.443
1,0.0196131,579.978
1,0.0205938,570.81
1,0.0216235,560.922
1,0.0227047,550.296
1,0.0238399,538.916
1,0.0250319,526.785
1,0.0262835,513.895
1,0.0275977,500.261
1,0.0289775,485.893
1,0.0304264,470.826
1,0.0319477,455.111
1,0.0335451,438.814
1,0.0352224,422.02
1,0.0369835,404.844
1,0.0388327,387.41
1,0.0407743,369.875
1,0.042813,352.422
1,0.0449537,335.24
1,0.0472014,318.539
1,0.0495614,302.539
1,0.0520395,287.442
1,0.0546415,273.442
1,0.0573736,260.69
1,0.0602422,249.287
1,0.0632544,239.265
1,0.0664171,230.574
1,0.0697379,223.063
1,0.0732248,216.491
1,0.0768861,210.537
1,0.0807304,204.816
1,0.0847669,198.943
1,0.0890052,192.567
1,0.0934555,185.452
1,0.0981283,177.539
1,0.103035,168.969
1,0.108186,160.093
1,0.113596,151.407
1,0.119276,143.439
1,0.125239,136.589
1,0.131501,130.975
1,0.138076,126.349
1,0.14498,122.139
1,0.152229,117.664
1,0.159841,112.435
1,0.167833,106.453
1,0.176224,100.255
1,0.185035,94.6504
1,0.194287,90.1701
1,0.204002,86.6285
1,0.214202,83.1909
1,0.224912,79.0607
1,0.236157,74.2771
1,0.247965,69.7581
1,0.260363,66.2835
1,0.273382,63.4743
1,0.287051,60.2194
1,0.301403,56.307
1,0.316473,52.8257
1,0.332297,50.3002
1,0.348912,47.6539
1,0.366358,44.3615
1,0.384675,41.6091
1,0.403909,39.5075
1,0.424105,36.8235
1,0.44531,34.2762
1,0.467575,32.4193
1,0.490954,30.0306
1,0.515502,28.0115
1,0.541277,26.244
1,0.568341,24.1556
1,0.596758,22.6668
1,0.626596,20.7777
1,0.657926,19.4238
1,0.690822,17.753
1,0.725363,16.5345
1,0.761631,15.0868
1,0.799713,13.9241
1,0.839698,12.8024
1,0.881683,11.6302
1,0.925767,10.6902
1,0.972056,9.79925
1,1.02066,8.88853
1,1.07169,8.05762
1,1.12528,7.33112
1,1.18154,6.67664
1,1.24062,6.07209
1,1.30265,5.51214
1,1.36778,4.99559
1,1.43617,4.52192
1,1.50798,4.09731
1,1.58338,3.73416
1,1.66255,3.41617
1,1.74567,3.09352
1,1.83296,2.81741
1,1.9246,2.58767
1,2.02083,2.35506
1,2.12188,2.16368
1,2.22797,1.99786
1,2.33937,1.8304
1,2.45634,1.68312
1,2.57915,1.55455
1,2.70811,1.43985
1,2.84352,1.33946
1,2.98569,1.24826
1,3.13498,1.15219
1,3.29173,1.07878
1,3.45631,0.998542
1,3.62913,0.934661
1,3.81058,0.874697
1,4.00111,0.8169
1,4.20117,0.761301
1,4.41123,0.71351
1,4.63179,0.669323
1,4.86338,0.628403
1,5.10655,0.587974
1,5.36187,0.551972
1,5.62997,0.518061
1,5.91147,0.483733
1,6.20704,0.454359
1,6.51739,0.42631
1,6.84326,0.398483
1,7.18542,0.374471
1,7.5447,0.34925
1,7.92193,0.326601
1,8.31803,0.306157
1,8.73393,0.284679
1,9.17062,0.265394
1,9.62916,0.247568
1,10.1106,0.22983
1,10.6161,0.213412
1,11.147,0.198623
1,11.7043,0.183803
1,12.2895,0.170248
1,12.904,0.157274
1,13.5492,0.145135
1,14.2266,0.133857
1,14.938,0.123093
1,15.6849,0.113343
1,16.4691,0.103901
1,17.2926,0.0954421
1,18.1572,0.0873927
1,19.0651,0.0802606
1,20.0183,0.0733989
1,21.0192,0.067062
1,22.0702,0.0610896
1,23.1737,0.0556097
1,24.3324,0.0506177
1,25.549,0.0460078
1,26.8265,0.0416036
1,28.1678,0.0377178
1,29.5762,0.0340656
1,31.055,0.0306935
1,32.6077,0.0275698
1,34.2381,0.0247532
1,35.95,0.0221807
1,37.7475,0.0198313
1,39.6349,0.0176743
1,41.6167,0.015738
1,43.6975,0.01397
1,45.8824,0.012337
1,48.1765,0.0108825
1,50.5853,0.00956
1,53.1146,0.00840739
1,55.7703,0.00735377
1,58.5588,0.00638799
1,61.4868,0.00557288
1,64.5611,0.00482787
1,67.7891,0.00415023
1,71.1786,0.00357184
1,74.7375,0.00307284
1,78.4744,0.00260908
1,82.3981,0.00222872
1,86.518,0.0018754
1,90.8439,0.00158052
1,95.3861,0.00132319
1,100.155,0.00110047
1,105.163,0.000913494
1,110.421,0.000752044
1,115.942,0.000608675
1,121.74,0.000491303
1,127.827,0.000388702
1,134.218,0.000298987
1,140.929,0.000225531
1,147.975,0.000164671
1,155.374,0.00011448
1,163.143,7.47467e-05
1,171.3,3.86601e-05
1,179.865,1.0992e-05
1,188.858,-1.25434e-05
1,198.301,-3.08681e-05
1,208.216,-4.38282e-05
1,218.627,-5.18762e-05
1,229.558,-5.82577e-05
1,241.036,-6.27049e-05
1,253.088,-6.44459e-05
1,265.742,-6.25246e-05
1,279.029,-6.12416e-05
1,292.981,-5.77405e-05
1,307.63,-5.32426e-05
1,323.011,-4.81609e-05
1,339.162,-4.28362e-05
1,356.12,-3.73194e-05
1,373.926,-3.19586e-05
1,392.622,-2.69763e-05
1,412.253,-2.24772e-05
1,432.866,-1.84268e-05
1,454.509,-1.50181e-05
1,477.235,-1.1979e-05
2,0.001,250.414
2,0.00105,250.403
2,0.0011025,250.391
2,0.00115763,250.378
2,0.00121551,250.363
2,0.00127628,250.347
2,0.0013401,250.329
2,0.0014071,250.31
2,0.00147746,250.288
2,0.00155133,250.264
2,0.00162889,250.238
2,0.00171034,250.209
2,0.00179586,250.177
2,0.00188565,250.142
2,0.00197993,250.103
2,0.00207893,250.061
2,0.00218287,250.013
2,0.00229202,249.962
2,0.00240662,249.904
2,0.00252695,249.841
2,0.0026533,249.772
2,0.00278596,249.695
2,0.00292526,249.611
2,0.00307152,249.518
2,0.0032251,249.415
2,0.00338635,249.302
2,0.00355567,249.177
2,0.00373346,249.04
2,0.00392013,248.889
2,0.00411614,248.723
2,0.00432194,248.539
2,0.00453804,248.337
2,0.00476494,248.115
2,0.00500319,247.87
2,0.00525335,247.601
2,0.00551602,247.304
2,0.00579182,246.977
2,0.00608141,246.618
2,0.00638548,246.222
2,0.00670475,245.787
2,0.00703999,245.309
2,0.00739199,244.782
2,0.00776159,244.204
2,0.00814967,243.569
2,0.00855715,242.871
2,0.00898501,242.104
2,0.00943426,241.263
2,0.00990597,240.34
2,0.0104013,239.327
2,0.0109213,238.218
2,0.0114674,237.003
2,0.0120408,235.673
2,0.0126428,234.219
2,0.0132749,232.629
2,0.0139387,230.894
2,0.0146356,229.001
2,0.0153674,226.939
2,0.0161358,224.656
2,0.0169426,222.154
2,0.0177897,219.452
2,0.0186792,216.541
2,0.0196131,213.407
2,0.0205938,210.037
2,0.0216235,206.422
2,0.0227047,202.547
2,0.0238399,198.405
2,0.0250319,193.99
2,0.0262835,189.296
2,0.0275977,184.324
2,0.0289775,179.079
2,0.0304264,173.571
2,0.0319477,167.816
2,0.0335451,161.839
2,0.0352224,155.67
2,0.0369835,149.351
2,0.0388327,142.929
2,0.0407743,136.461
2,0.042813,130.015
2,0.0449537,123.662
2,0.0472014,117.477
2,0.0495614,111.542
2,0.0520395,105.932
2,0.0546415,100.717
2,0.0573736,95.9536
2,0.0602422,91.6798
2,0.0632544,87.9065
2,0.0664171,84.6166
2,0.0697379,81.7552
2,0.0732248,79.236
2,0.0768861,76.9413
2,0.0807304,74.7317
2,0.0847669,72.4646
2,0.0890052,70.0157
2,0.0934555,67.2981
2,0.0981283,64.2881
2,0.103035,61.0387
2,0.108186,57.6784
2,0.113596,54.3873
2,0.119276,51.3585
2,0.125239,48.738
2,0.131501,46.5706
2,0.138076,44.766
2,0.14498,43.1171
2,0.152229,41.3754
2,0.159841,39.3634
2,0.167833,37.0809
2,0.176224,34.724
2,0.185035,32.5872
2,0.194287,30.8648
2,0.204002,29.4903
2,0.214202,28.1595
2,0.224912,26.5823
2,0.236157,24.7735
2,0.247965,23.0664
2,0.260363,21.7468
2,0.273382,20.6768
2,0.287051,19.452
2,0.301403,17.9949
2,0.316473,16.7026
2,0.332297,15.7667
2,0.348912,14.7951
2,0.366358,13.5966
2,0.384675,12.6035
2,0.403909,11.8563
2,0.424105,10.9059
2,0.44531,10.0139
2,0.467575,9.38252
2,0.490954,8.56629
2,0.515502,7.89276
2,0.541277,7.3193
2,0.568341,6.6367
2,0.596758,6.17991
2,0.626596,5.58388
2,0.657926,5.18897
2,0.690822,4.68387
2,0.725363,4.3479
2,0.761631,3.93189
2,0.799713,3.62224
2,0.839698,3.32875
2,0.881683,3.01727
2,0.925767,2.78954
2,0.972056,2.57771
2,1.02066,2.35579
2,1.07169,2.15898
2,1.12528,1.99543
2,1.18154,1.85249
2,1.24062,1.72151
2,1.30265,1.60004
2,1.36778,1.48732
2,1.43617,1.38299
2,1.50798,1.28929
2,1.58338,1.2109
2,1.66255,1.14215
2,1.74567,1.06523
2,1.83296,0.999314
2,1.9246,0.944852
2,2.02083,0.884459
2,2.12188,0.83476
2,2.22797,0.790556
2,2.33937,0.742484
2,2.45634,0.698899
2,2.57915,0.65973
2,2.70811,0.623534
2,2.84352,0.590785
2,2.98569,0.559868
2,3.13498,0.525869
2,3.29173,0.498994
2,3.45631,0.468649
2,3.62913,0.443438
2,3.81058,0.418943
2,4.00111,0.394658
2,4.20117,0.370697
2,4.41123,0.349213
2,4.63179,0.328757
2,4.86338,0.309292
2,5.10655,0.289893
2,5.36187,0.272094
2,5.62997,0.25511
2,5.91147,0.238077
2,6.20704,0.223006
2,6.51739,0.208616
2,6.84326,0.194526
2,7.18542,0.182055
2,7.5447,0.169385
2,7.92193,0.157922
2,8.31803,0.147519
2,8.73393,0.136974
2,9.17062,0.127462
2,9.62916,0.118701
2,10.1106,0.110169
2,10.6161,0.102293
2,11.147,0.0951515
2,11.7043,0.0881423
2,12.2895,0.0817206
2,12.904,0.0756159
2,13.5492,0.0699004
2,14.2266,0.0645784
2,14.938,0.0595141
2,15.6849,0.0548823
2,16.4691,0.0504254
2,17.2926,0.0463839
2,18.1572,0.0425374
2,19.0651,0.039076
2,20.0183,0.0357655
2,21.0192,0.0326912
2,22.0702,0.0297982
2,23.1737,0.0271302
2,24.3324,0.0246855
2,25.549,0.0224222
2,26.8265,0.0202774
2,28.1678,0.0183613
2,29.5762,0.0165673
2,31.055,0.0149177
2,32.6077,0.0133882
2,34.2381,0.0120059
2,35.95,0.0107443
2,37.7475,0.00959232
2,39.6349,0.00853688
2,41.6167,0.00758921
2,43.6975,0.00672472
2,45.8824,0.00593304
2,48.1765,0.00522723
2,50.5853,0.00458596
2,53.1146,0.00402462
2,55.7703,0.00351618
2,58.5588,0.00305262
2,61.4868,0.00265726
2,64.5611,0.00229931
2,67.7891,0.00197624
2,71.1786,0.00169871
2,74.7375,0.00145883
2,78.4744,0.0012388
2,82.3981,0.00105618
2,86.518,0.000889347
2,90.8439,0.000749231
2,95.3861,0.000626674
2,100.155,0.000521063
2,105.163,0.000432344
2,110.421,0.000355372
2,115.942,0.000287983
2,121.74,0.000232206
2,127.827,0.000183844
2,134.218,0.000141594
2,140.929,0.000106859
2,147.975,7.81154e-05
2,155.374,5.40795e-05
2,163.143,3.49847e-05
2,171.3,1.81309e-05
2,179.865,4.80532e-06
2,188.858,-6.27468e-06
2,198.301,-1.49473e-05
2,208.216,-2.1085e-05
2,218.627,-2.50725e-05
2,229.558,-2.80496e-05
2,241.036,-3.00934e-05
2,253.088,-3.08067e-05
2,265.742,-2.99694e-05
2,279.029,-2.92088e-05
2,292.981,-2.75413e-05
2,307.63,-2.53827e-05
2,323.011,-2.29678e-05
2,339.162,-2.04428e-05
2,356.12,-1.78216e-05
2,373.926,-1.52802e-05
2,392.622,-1.29144e-05
2,412.253,-1.07489e-05
2,432.866,-8.79585e-06
2,454.509,-7.16697e-06
2,477.235,-5.74311e-06
3,0.001,119.074
3,0.00105,119.069
3,0.0011025,119.063
3,0.00115763,119.056
3,0.00121551,119.049
3,0.00127628,119.041
3,0.0013401,119.032
3,0.0014071,119.023
3,0.00147746,119.012
3,0.00155133,119.001
3,0.00162889,118.988
3,0.00171034,118.974
3,0.00179586,118.958
3,0.00188565,118.941
3,0.00197993,118.922
3,0.00207893,118.901
3,0.00218287,118.878
3,0.00229202,118.853
3,0.00240662,118.825
3,0.00252695,118.794
3,0.0026533,118.76
3,0.00278596,118.723
3,0.00292526,118.681
3,0.00307152,118.636
3,0.0032251,118.586
3,0.00338635,118.531
3,0.00355567,118.47
3,0.00373346,118.403
3,0.00392013,118.329
3,0.00411614,118.248
3,0.00432194,118.158
3,0.00453804,118.06
3,0.00476494,117.951
3,0.00500319,117.832
3,0.00525335,117.7
3,0.00551602,117.555
3,0.00579182,117.396
3,0.00608141,117.22
3,0.00638548,117.027
3,0.00670475,116.815
3,0.00703999,116.581
3,0.00739199,116.324
3,0.00776159,116.042
3,0.00814967,115.731
3,0.00855715,115.39
3,0.00898501,115.016
3,0.00943426,114.605
